ROC AUC,Accuracy,Precision,Modelo
0.7594078830033886,0.9166666666666666,0.4117647058823529,BERT sin FE
0.776350989834136,0.9340277777777778,1.0,BERT con FE
0.45032994471196713,0.9270833333333334,0.0,FastText sin FE
0.661227037631532,0.9131944444444444,0.25,FastText con FE
